sample ID,soil type,soil rep,treatment plant,row rep,pinyon seed source final,pinyon notes,final germ date,grass planting date,Pre-harvest grass notes,actual harvest date (grass and pinyon),experimental pinyon fresh shoot biomass (g),experimental pinyon dried shoot biomass,experimental pinyon fresh root biomass (g),experimental pinyon dried root biomass,experimental pinyon shoot length,number of grass/conditioning plants,grass/ treatment pinyon fresh shoot biomass (g),grass/ treatment pinyon fresh root biomass (g),conditioning shoot dried biomass,grass dried root biomass
WP-B1-1,burn,1,western wheatgrass,1,PRR-11556,germ date estimated,06/01/21,05/24/21,,12/09/21,0.82,0.3221,1.02,0.22,,3,1.64,3.3,0.788,0.65
WP-B1-2,burn,1,western wheatgrass,2,PRR-11598,"0 on 9/10, 1 on 9/22",09/22/21,05/24/21,mostly senesced...maybe 75%,04/06/22,0.48,0.2312,0.474,0.13,4.4,7,1.79,1.5,1.295,0.9
WP-B1-3,burn,1,western wheatgrass,3,PRR-11598,germ date estimated,06/01/21,05/24/21,,12/10/21,0.86,0.2959,0.66,,,3,1.11,2.31,0.554,0.64
WP-B1-4,burn,1,western wheatgrass,4,PRR-11530,,08/17/21,05/24/21,,02/27/22,0.58,0.1966,,,2.5,5,1.33,,0.608,
WP-B2-1,burn,2,western wheatgrass,1,PRR-11556,germ date estimated,06/01/21,05/24/21,,12/10/21,0.79,0.28,0.65,0.2,,7,1.49,3.33,0.691,0.78
WP-B2-2,burn,2,western wheatgrass,2,PRR-11598,"0 on 9/10, 1 on 9/22",09/22/21,05/24/21,,04/06/22,0.58,0.2332,0.604,0.208,3.3,5,1.18,4.48,0.913,1.19
WP-B2-3,burn,2,western wheatgrass,3,PRR-11598,germ date estimated,06/01/21,05/24/21,,12/09/21,0.44,0.1427,0.44,0.16,,5,1.62,3.36,0.718,0.86
WP-B2-4,burn,2,western wheatgrass,4,PRR-11530,,08/06/21,05/24/21,,02/16/22,0.41,0.1793,,,,4,1.54,,0.908,
WP-B3-1,burn,3,western wheatgrass,1,PRR-11559,,08/17/21,05/24/21,,02/27/22,0.5,0.1864,,,,5,1.59,,,
WP-B3-2,burn,3,western wheatgrass,2,PRR-11559,germ date estimated,06/01/21,05/24/21,,12/09/21,0.45,0.1753,0.49,0.23,,7,0.82,2.69,0.477,0.65
WP-B3-3,burn,3,western wheatgrass,3,PRR-11530,germ date estimated,06/01/21,05/24/21,,12/09/21,0.6,0.2223,,,,6,1.04,,0.484,
WP-B3-4,burn,3,western wheatgrass,4,PRR-11570,germ date estimated,06/01/21,05/24/21,,12/09/21,0.39,0.15,0.49,0.14,,4,1.56,2.22,0.706,0.85
WP-B4-1,burn,4,western wheatgrass,1,PRR-11559,,08/17/21,05/24/21,,02/27/22,0.51,0.1698,,,3.2,8,2.29,,,
